,point_of_origin,nearest_point,distance_in_meter
320,POINT (29.00091 41.04827),POINT (29.0004588 41.0487174),66.34257077673932
321,POINT (28.99753 41.04439),POINT (29.0004588 41.0487174),532.1405415049217
322,POINT (29.02892 41.07222),POINT (29.0253075 41.0777839),673.8542191020902
323,POINT (29.00678 41.04444),POINT (29.0004588 41.0487174),815.205338707806
324,POINT (29.00183 41.04461),POINT (29.0004588 41.0487174),428.1008032587014
325,POINT (29.01124 41.09159),POINT (29.01134024300007 41.08607120700003),537.8014987002147
326,POINT (29.02843 41.07153),POINT (29.0253075 41.0777839),700.6562099728069
327,POINT (28.99978 41.04909),POINT (29.0004588 41.0487174),83.53715731834285
328,POINT (29.00545 41.04881),POINT (29.0004588 41.0487174),553.2772846106853
329,POINT (29.0053 41.04735),POINT (29.0004588 41.0487174),552.8722085148862
330,POINT (29.00325 41.04533),POINT (29.0004588 41.0487174),452.37743864527715
331,POINT (29.0017 41.0461),POINT (29.0004588 41.0487174),289.77171604474034
332,POINT (29.01142 41.04439),POINT (29.0004588 41.0487174),1285.9789955676554
333,POINT (29.00354 41.05867),POINT (28.9995352 41.0557256),528.5204230020262
334,POINT (29.00307 41.04597),POINT (29.0004588 41.0487174),394.23790113404726
335,POINT (28.99751 41.04446),POINT (29.0004588 41.0487174),528.1212569393172
336,POINT (29.00264 41.04897),POINT (29.0004588 41.0487174),243.00468603378349
337,POINT (29.00432 41.0556),POINT (28.9995352 41.0557256),530.4683062547185
338,POINT (29.00381 41.05362),POINT (29.0001178 41.0527306),418.30317402385657
339,POINT (29.03364 41.06226),POINT (29.03654855 41.07449),1234.1234725166732
340,POINT (29.02476 41.0501),POINT (29.016612 41.066644),1847.4792708005052
341,POINT (29.02785 41.05379),POINT (29.016612 41.066644),1766.2091202290592
342,POINT (29.02751 41.05147),POINT (29.016612 41.066644),1908.9655303167697
